responseid,familiar,crisis,reproducible,age,discipline,discipline-other,continent
1076,4 - Fairly familiar,yes,60,65 or over,Other,"Interdisciplinary: biology, chemical engineering, mathematics",Europe
1088,5 - Very familiar,yes,50,25 - 34,Medicine,,Asia
1100,5 - Very familiar,yes,70,25 - 34,Biology,,North America
1102,5 - Very familiar,yes,70,25 - 34,Chemistry,,Australasia
1104,5 - Very familiar,yes,90,55 - 64,Chemistry,,Europe
1110,5 - Very familiar,yes,50,35 - 44,Other,Neuroscience ,North America
1117,5 - Very familiar,no,70,25 - 34,Biology,,North America
1120,5 - Very familiar,yes,90,25 - 34,Biology,,North America
1125,4 - Fairly familiar,yes,50,25 - 34,Biology,,North America
1139,5 - Very familiar,yes,50,35 - 44,Biology,,Europe
1140,4 - Fairly familiar,yes,50,25 - 34,Medicine,,North America
1142,3 - Somewhat familiar,yes,50,55 - 64,Medicine,,Europe
1159,5 - Very familiar,yes,50,65 or over,Medicine,,Australasia
1163,5 - Very familiar,yes,60,35 - 44,Biology,,North America
1164,5 - Very familiar,yes,90,25 - 34,Biology,,Europe
1169,5 - Very familiar,yes,40,35 - 44,Medicine,,Europe
1184,5 - Very familiar,yes,70,25 - 34,Engineering,,North America
1187,2 - Not very familiar,no,70,45 - 54,Medicine,,Asia
1219,5 - Very familiar,yes,70,65 or over,Other,Neurochemistry,North America
1223,5 - Very familiar,yes,50,45 - 54,Other,Psychology,Europe
1225,4 - Fairly familiar,yes,60,35 - 44,Physics,,Europe
1229,5 - Very familiar,yes,20,25 - 34,Biology,,North America
1243,5 - Very familiar,yes,70,45 - 54,Other,Neuroscience,Europe
1293,5 - Very familiar,yes,30,25 - 34,Biology,,North America
1295,4 - Fairly familiar,yes,60,35 - 44,Earth Science,,Europe
1299,5 - Very familiar,yes,50,25 - 34,Earth Science,,Europe
1300,3 - Somewhat familiar,yes,40,55 - 64,Biology,,North America
1307,5 - Very familiar,yes,70,45 - 54,Biology,,Europe
1308,5 - Very familiar,yes,30,25 - 34,Biology,,North America
1309,5 - Very familiar,yes,30,55 - 64,Biology,,North America
1310,5 - Very familiar,yes,70,25 - 34,Medicine,,North America
1339,5 - Very familiar,yes,60,35 - 44,Chemistry,,Australasia
1340,5 - Very familiar,yes,20,35 - 44,Biology,,North America
1342,5 - Very familiar,yes,30,35 - 44,Biology,,North America
1351,4 - Fairly familiar,yes,80,35 - 44,Biology,,North America
1355,3 - Somewhat familiar,yes,90,25 - 34,Chemistry,,Europe
1365,5 - Very familiar,yes,50,25 - 34,Biology,,Europe
1369,3 - Somewhat familiar,no,90,35 - 44,Physics,,Europe
1379,5 - Very familiar,yes,80,25 - 34,Earth Science,,Asia
1380,5 - Very familiar,yes,80,25 - 34,Biology,,South America
1394,5 - Very familiar,yes,70,55 - 64,Biology,,Europe
1400,4 - Fairly familiar,yes,40,25 - 34,Biology,,Europe
1410,5 - Very familiar,yes,50,45 - 54,Medicine,,Australasia
1416,5 - Very familiar,yes,50,25 - 34,Biology,,South America
1417,4 - Fairly familiar,yes,30,25 - 34,Other,cognitive neuroscience,Europe
1424,5 - Very familiar,yes,90,45 - 54,Physics,,North America
1427,5 - Very familiar,yes,30,35 - 44,Other,Cognitive Neuroscience,Europe
1428,5 - Very familiar,yes,30,25 - 34,Biology,,North America
1430,5 - Very familiar,yes,90,65 or over,Earth Science,,North America
1439,5 - Very familiar,yes,70,25 - 34,Physics,,Australasia
1443,5 - Very familiar,yes,70,25 - 34,Biology,,Australasia
1448,5 - Very familiar,yes,70,45 - 54,Biology,,Asia
1456,5 - Very familiar,yes,50,45 - 54,Biology,,Europe
1457,5 - Very familiar,yes,40,45 - 54,Biology,,Europe
1458,5 - Very familiar,yes,60,35 - 44,Engineering,,Europe
1459,5 - Very familiar,yes,90,35 - 44,Astonomy,,North America
1462,5 - Very familiar,yes,80,25 - 34,Other,Biochemistry,Europe
1469,4 - Fairly familiar,no,90,65 or over,Physics,,Europe
1475,5 - Very familiar,yes,40,35 - 44,Other,Cognitive Psychology,North America
1478,4 - Fairly familiar,yes,70,55 - 64,Other,Agriculture,Australasia
1494,5 - Very familiar,yes,40,55 - 64,Other,molecular naotechnology,Asia
1495,5 - Very familiar,yes,80,35 - 44,Biology,,North America
1501,5 - Very familiar,yes,80,55 - 64,Biology,,Asia
1502,5 - Very familiar,yes,100,45 - 54,Earth Science,,Asia
1505,5 - Very familiar,yes,50,25 - 34,Biology,,Asia
1506,5 - Very familiar,yes,90,45 - 54,Biology,,Asia
1520,5 - Very familiar,yes,90,25 - 34,Biology,,Australasia
1523,5 - Very familiar,yes,90,45 - 54,Materials Science,,Asia
1525,5 - Very familiar,yes,10,35 - 44,Earth Science,,Australasia
1526,4 - Fairly familiar,yes,30,35 - 44,Biology,,North America
1531,5 - Very familiar,yes,70,25 - 34,Biology,,North America
1533,5 - Very familiar,yes,80,25 - 34,Biology,,North America
1535,5 - Very familiar,yes,50,25 - 34,Medicine,,Europe
1548,5 - Very familiar,yes,30,45 - 54,Earth Science,,North America
1550,5 - Very familiar,yes,10,35 - 44,Biology,,Asia
1552,5 - Very familiar,yes,30,25 - 34,Materials Science,,Asia
1554,4 - Fairly familiar,yes,70,25 - 34,Engineering,,Australasia
1557,3 - Somewhat familiar,no,90,25 - 34,Physics,,Asia
1558,5 - Very familiar,yes,80,45 - 54,Medicine,,Asia
1559,2 - Not very familiar,yes,100,25 - 34,Biology,,Asia
1565,5 - Very familiar,yes,70,25 - 34,Physics,,Asia
1567,5 - Very familiar,yes,30,55 - 64,Materials Science,,Asia
1568,4 - Fairly familiar,yes,90,25 - 34,Earth Science,,Asia
1569,4 - Fairly familiar,yes,90,25 - 34,Earth Science,,Asia
1570,5 - Very familiar,yes,30,45 - 54,Other,Economics,Australasia
1573,2 - Not very familiar,yes,90,25 - 34,Biology,,Asia
1576,5 - Very familiar,yes,10,35 - 44,Medicine,,North America
1577,5 - Very familiar,no,50,35 - 44,Earth Science,,Australasia
1579,5 - Very familiar,yes,80,25 - 34,Biology,,Australasia
1584,5 - Very familiar,yes,40,25 - 34,Medicine,,Asia
1600,5 - Very familiar,yes,80,55 - 64,Other,Agrobiotechnology,North America
1604,4 - Fairly familiar,yes,70,25 - 34,Medicine,,Australasia
1605,5 - Very familiar,yes,70,35 - 44,Biology,,Asia
1607,5 - Very familiar,yes,40,35 - 44,Other,Information Technology,Asia
1616,5 - Very familiar,yes,80,45 - 54,Biology,,Australasia
1620,5 - Very familiar,yes,90,55 - 64,Physics,,Europe
1627,4 - Fairly familiar,yes,80,25 - 34,Biology,,Asia
1629,5 - Very familiar,yes,80,25 - 34,Other,NANO SCIENCE ,Asia
1631,5 - Very familiar,yes,70,65 or over,Biology,,North America
1640,5 - Very familiar,no,90,25 - 34,Materials Science,,Asia
1646,4 - Fairly familiar,yes,30,45 - 54,Biology,,Asia
1649,5 - Very familiar,yes,40,25 - 34,Chemistry,,Asia
1651,5 - Very familiar,yes,80,45 - 54,Biology,,Australasia
1662,5 - Very familiar,yes,90,25 - 34,Chemistry,,Asia
1664,5 - Very familiar,yes,80,55 - 64,Materials Science,,Asia
1665,5 - Very familiar,yes,80,45 - 54,Engineering,,Australasia
1667,5 - Very familiar,yes,10,35 - 44,Astonomy,,Asia
1674,5 - Very familiar,yes,70,45 - 54,Chemistry,,North America
1675,5 - Very familiar,yes,50,25 - 34,Biology,,Asia
1676,4 - Fairly familiar,yes,90,35 - 44,Biology,,Asia
1688,5 - Very familiar,yes,70,25 - 34,Biology,,Australasia
1689,5 - Very familiar,yes,30,35 - 44,Biology,,North America
1694,5 - Very familiar,yes,90,25 - 34,Physics,,Asia
1697,5 - Very familiar,yes,90,45 - 54,Chemistry,,Asia
1700,5 - Very familiar,yes,30,35 - 44,Biology,,Asia
1713,4 - Fairly familiar,yes,40,25 - 34,Materials Science,,Asia
1714,5 - Very familiar,no,50,25 - 34,Biology,,Europe
1716,5 - Very familiar,yes,70,25 - 34,Earth Science,,Asia
1717,5 - Very familiar,yes,70,25 - 34,Biology,,Asia
1718,4 - Fairly familiar,yes,70,35 - 44,Medicine,,South America
1723,5 - Very familiar,yes,60,25 - 34,Medicine,,Europe
1729,5 - Very familiar,yes,70,55 - 64,Materials Science,,Europe
1730,4 - Fairly familiar,yes,60,25 - 34,Biology,,Asia
1732,5 - Very familiar,yes,70,35 - 44,Chemistry,,Europe
1737,3 - Somewhat familiar,yes,10,25 - 34,Biology,,Asia
1742,5 - Very familiar,yes,50,35 - 44,Biology,,Europe
1743,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
1747,5 - Very familiar,yes,90,55 - 64,Biology,,North America
1751,4 - Fairly familiar,yes,70,25 - 34,Other,Toxicology,Europe
1752,3 - Somewhat familiar,yes,60,45 - 54,Materials Science,,Europe
1755,3 - Somewhat familiar,yes,70,45 - 54,Other,Agriculture,Asia
1760,5 - Very familiar,yes,40,35 - 44,Other,Food chemistry,Europe
1773,5 - Very familiar,yes,80,65 or over,Chemistry,,Asia
1774,5 - Very familiar,yes,70,18 - 24,Other,cognitive neuroscience,Asia
1777,4 - Fairly familiar,yes,60,45 - 54,Biology,,Europe
1782,3 - Somewhat familiar,yes,20,45 - 54,Chemistry,,Asia
1783,4 - Fairly familiar,yes,50,35 - 44,Medicine,,Europe
1791,4 - Fairly familiar,yes,70,25 - 34,Chemistry,,Europe
1799,5 - Very familiar,yes,80,45 - 54,Biology,,Australasia
1800,3 - Somewhat familiar,yes,10,35 - 44,Other,Geography,Europe
1801,5 - Very familiar,yes,40,45 - 54,Biology,,Europe
1808,5 - Very familiar,yes,80,25 - 34,Biology,,Asia
1809,5 - Very familiar,yes,20,25 - 34,Chemistry,,Europe
1812,5 - Very familiar,yes,60,45 - 54,Other,"Interdisciplinary science (Physiology, Engineering)",Europe
1815,5 - Very familiar,yes,50,35 - 44,Biology,,Europe
1818,4 - Fairly familiar,yes,60,18 - 24,Biology,,Europe
1820,5 - Very familiar,yes,80,25 - 34,Biology,,Europe
1822,5 - Very familiar,yes,60,35 - 44,Biology,,Europe
1823,4 - Fairly familiar,no,60,45 - 54,Medicine,,Europe
1837,3 - Somewhat familiar,yes,20,35 - 44,Other,Psychology,Europe
1840,3 - Somewhat familiar,yes,30,25 - 34,Biology,,Asia
1842,5 - Very familiar,yes,70,55 - 64,Biology,,Europe
1843,5 - Very familiar,yes,20,18 - 24,Biology,,Asia
1844,4 - Fairly familiar,yes,60,25 - 34,Medicine,,Asia
1851,5 - Very familiar,yes,60,25 - 34,Other,Biophysics,Europe
1881,5 - Very familiar,yes,50,55 - 64,Chemistry,,Europe
1888,5 - Very familiar,yes,50,35 - 44,Biology,,Europe
1890,4 - Fairly familiar,yes,60,25 - 34,Biology,,Europe
1910,5 - Very familiar,yes,80,65 or over,Earth Science,,Europe
1911,5 - Very familiar,yes,90,25 - 34,Biology,,Europe
1917,5 - Very familiar,yes,80,65 or over,Medicine,,Asia
1931,3 - Somewhat familiar,no,40,25 - 34,Materials Science,,Asia
1934,4 - Fairly familiar,yes,60,35 - 44,Other,Medical Biology and Genetics,Europe
1937,3 - Somewhat familiar,yes,40,35 - 44,Earth Science,,Europe
1938,5 - Very familiar,yes,30,25 - 34,Medicine,,Europe
1949,5 - Very familiar,yes,80,35 - 44,Biology,,Asia
1951,3 - Somewhat familiar,yes,50,25 - 34,Biology,,Europe
1954,5 - Very familiar,yes,60,35 - 44,Biology,,Europe
1958,3 - Somewhat familiar,yes,50,25 - 34,Biology,,Asia
1960,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
1961,5 - Very familiar,yes,60,25 - 34,Biology,,North America
1969,4 - Fairly familiar,yes,80,35 - 44,Materials Science,,Europe
1972,5 - Very familiar,yes,70,65 or over,Biology,,South America
1975,5 - Very familiar,no,70,55 - 64,Other,"Philosophy of science, AI, palaeontology",Europe
1976,4 - Fairly familiar,yes,50,25 - 34,Other,Veterinary Medicine,North America
1981,5 - Very familiar,yes,70,55 - 64,Biology,,Europe
1982,5 - Very familiar,yes,20,35 - 44,Biology,,Europe
1986,3 - Somewhat familiar,yes,50,25 - 34,Biology,,Asia
1989,5 - Very familiar,no,90,25 - 34,Physics,,Europe
1992,5 - Very familiar,yes,20,25 - 34,Biology,,North America
1993,5 - Very familiar,yes,50,25 - 34,Biology,,Europe
2004,4 - Fairly familiar,yes,70,35 - 44,Medicine,,North America
2007,5 - Very familiar,yes,90,18 - 24,Biology,,Asia
2009,4 - Fairly familiar,yes,70,65 or over,Other,Experimental Linguistics,Europe
2011,4 - Fairly familiar,yes,90,55 - 64,Medicine,,Europe
2021,5 - Very familiar,yes,40,25 - 34,Other,Molecular biology and biochemistry ,North America
2042,4 - Fairly familiar,yes,40,25 - 34,Biology,,North America
2050,5 - Very familiar,yes,30,35 - 44,Other,Psychology,Europe
2054,5 - Very familiar,yes,90,18 - 24,Chemistry,,North America
2055,5 - Very familiar,yes,80,25 - 34,Astonomy,,North America
2058,5 - Very familiar,yes,60,25 - 34,Biology,,Europe
2062,4 - Fairly familiar,yes,50,35 - 44,Biology,,Europe
2084,5 - Very familiar,yes,90,65 or over,Medicine,,North America
2089,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
2093,5 - Very familiar,yes,40,18 - 24,Medicine,,Asia
2097,5 - Very familiar,yes,20,25 - 34,Medicine,,Europe
2104,5 - Very familiar,yes,60,25 - 34,Biology,,North America
2108,5 - Very familiar,yes,50,45 - 54,Medicine,,Australasia
2118,5 - Very familiar,yes,40,35 - 44,Biology,,Europe
2119,5 - Very familiar,yes,10,35 - 44,Earth Science,,Europe
2132,5 - Very familiar,yes,60,55 - 64,Earth Science,,Europe
2134,4 - Fairly familiar,yes,70,45 - 54,Medicine,,Asia
2139,4 - Fairly familiar,yes,50,35 - 44,Medicine,,North America
2154,4 - Fairly familiar,yes,60,65 or over,Biology,,Europe
2155,5 - Very familiar,yes,70,35 - 44,Other,Quantum biochemistry,South America
2177,5 - Very familiar,yes,30,35 - 44,Biology,,South America
2178,5 - Very familiar,yes,70,65 or over,Medicine,,South America
2187,5 - Very familiar,yes,40,25 - 34,Medicine,,Europe
2190,5 - Very familiar,yes,60,55 - 64,Biology,,Europe
2196,5 - Very familiar,yes,40,35 - 44,Medicine,,North America
2198,5 - Very familiar,yes,30,25 - 34,Medicine,,North America
2207,5 - Very familiar,yes,60,25 - 34,Chemistry,,North America
2219,4 - Fairly familiar,yes,80,65 or over,Biology,,South America
2221,4 - Fairly familiar,no,30,35 - 44,Medicine,,North America
2222,4 - Fairly familiar,yes,60,45 - 54,Other,Agricultural Sciences,Europe
2232,5 - Very familiar,yes,50,35 - 44,Biology,,North America
2234,5 - Very familiar,yes,80,35 - 44,Medicine,,Asia
2240,5 - Very familiar,yes,60,55 - 64,Biology,,North America
2241,5 - Very familiar,yes,50,25 - 34,Biology,,Europe
2247,5 - Very familiar,yes,70,25 - 34,Biology,,North America
2249,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
2250,5 - Very familiar,yes,70,35 - 44,Chemistry,,North America
2257,5 - Very familiar,yes,80,18 - 24,Biology,,North America
2283,2 - Not very familiar,yes,50,65 or over,Chemistry,,South America
2285,5 - Very familiar,yes,50,25 - 34,Biology,,Europe
2287,5 - Very familiar,yes,40,25 - 34,Engineering,,North America
2288,3 - Somewhat familiar,yes,70,35 - 44,Biology,,Europe
2293,5 - Very familiar,yes,10,25 - 34,Biology,,North America
2313,4 - Fairly familiar,yes,60,35 - 44,Earth Science,,North America
2352,5 - Very familiar,yes,50,25 - 34,Other,Psychology,North America
2353,5 - Very familiar,yes,60,55 - 64,Biology,,Australasia
2366,4 - Fairly familiar,yes,10,55 - 64,Other,archaeologyg,North America
2371,5 - Very familiar,yes,40,25 - 34,Biology,,North America
2378,5 - Very familiar,yes,60,45 - 54,Earth Science,,North America
2381,5 - Very familiar,yes,50,55 - 64,Chemistry,,North America
2394,5 - Very familiar,yes,30,45 - 54,Other,environmental biology,Asia
2396,4 - Fairly familiar,yes,80,25 - 34,Other,Social sciences ,North America
2404,5 - Very familiar,yes,10,35 - 44,Materials Science,,Asia
2416,5 - Very familiar,yes,80,25 - 34,Biology,,South America
2429,5 - Very familiar,yes,90,25 - 34,Chemistry,,Europe
2430,5 - Very familiar,yes,20,25 - 34,Medicine,,North America
2442,2 - Not very familiar,yes,80,18 - 24,Biology,,North America
2448,4 - Fairly familiar,yes,40,25 - 34,Medicine,,Africa
2482,5 - Very familiar,yes,90,35 - 44,Biology,,Europe
2546,5 - Very familiar,yes,40,25 - 34,Biology,,Europe
2550,5 - Very familiar,yes,80,45 - 54,Chemistry,,Asia
2551,5 - Very familiar,yes,50,25 - 34,Materials Science,,Europe
2553,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
2558,5 - Very familiar,yes,50,35 - 44,Other,Biochemistry,Europe
2564,5 - Very familiar,yes,90,25 - 34,Physics,,Europe
2568,4 - Fairly familiar,yes,50,45 - 54,Biology,,Europe
2573,5 - Very familiar,yes,20,25 - 34,Biology,,Europe
2580,4 - Fairly familiar,yes,40,25 - 34,Other,Biochemistry,Asia
2602,4 - Fairly familiar,yes,60,25 - 34,Other,Pharmaceutics,North America
2608,5 - Very familiar,yes,80,25 - 34,Biology,,North America
2609,5 - Very familiar,yes,60,25 - 34,Other,Psychology,North America
2611,2 - Not very familiar,yes,60,35 - 44,Biology,,North America
2613,5 - Very familiar,yes,40,25 - 34,Biology,,North America
2615,5 - Very familiar,yes,70,25 - 34,Other,Economics,North America
2620,5 - Very familiar,yes,40,35 - 44,Biology,,Europe
2621,4 - Fairly familiar,yes,30,45 - 54,Biology,,Europe
2622,5 - Very familiar,yes,60,25 - 34,Biology,,Asia
2625,5 - Very familiar,yes,60,25 - 34,Biology,,Europe
2638,5 - Very familiar,yes,70,25 - 34,Chemistry,,South America
2645,5 - Very familiar,yes,80,25 - 34,Physics,,Asia
2661,5 - Very familiar,yes,60,25 - 34,Materials Science,,North America
2667,5 - Very familiar,yes,20,45 - 54,Chemistry,,North America
2669,5 - Very familiar,yes,20,25 - 34,Biology,,Europe
2670,5 - Very familiar,yes,70,35 - 44,Chemistry,,Europe
2672,4 - Fairly familiar,no,70,25 - 34,Chemistry,,Europe
2682,5 - Very familiar,yes,70,25 - 34,Chemistry,,North America
2689,5 - Very familiar,yes,80,25 - 34,Medicine,,North America
2696,5 - Very familiar,yes,30,45 - 54,Other,"Microbiology, biotechnology, engineering, material science",Europe
2697,5 - Very familiar,yes,80,65 or over,Chemistry,,North America
2703,5 - Very familiar,yes,80,18 - 24,Biology,,North America
2711,4 - Fairly familiar,yes,70,45 - 54,Other,Organizational Psychology,North America
2713,3 - Somewhat familiar,yes,90,25 - 34,Biology,,North America
2733,2 - Not very familiar,no,70,18 - 24,Engineering,,North America
2735,5 - Very familiar,yes,30,25 - 34,Engineering,,North America
2739,5 - Very familiar,yes,70,25 - 34,Biology,,North America
2740,3 - Somewhat familiar,yes,60,25 - 34,Chemistry,,Asia
2753,5 - Very familiar,yes,30,18 - 24,Biology,,South America
2763,5 - Very familiar,yes,60,25 - 34,Biology,,Europe
2764,3 - Somewhat familiar,yes,40,25 - 34,Biology,,Asia
2772,5 - Very familiar,yes,80,25 - 34,Medicine,,Asia
2773,5 - Very familiar,yes,50,25 - 34,Biology,,Australasia
2774,2 - Not very familiar,no,10,18 - 24,Biology,,Asia
